,,comments
"Jason Hickel & Giorgos Kallis (2019): Is Green Growth Possible?, New Political Economy, DOI: 10.1080/13563467.2019.1598964",https://static1.squarespace.com/static/59bc0e610abd04bd1e067ccc/t/5cbdc638b208fc1c56f785a7/1555940922601/Hickel+and+Kallis+-+Is+Green+Growth+Possible.pdf#%5B%7B%22num%22%3A266%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2Cnull%2Cnull%2Cnull%5D,
Climate Interactive Scoreboard,https://www.climateinteractive.org/ci-topics/climate-energy/scoreboard/,
Jason Hickel vs. Andrew McAfee Twitter thread,https://twitter.com/jasonhickel/status/1222537560137838594,
Jason Hickel vs. Pollin and Chomsky,https://www.jasonhickel.org/blog/2020/10/19/we-need-a-green-new-deal-without-growth,
Jason Hickel vs. Branko Milanovic,https://www.jasonhickel.org/blog/2017/11/19/why-branko-milanovic-is-wrong-about-de-growth,
World Scientists’ Warning of a Climate Emergency ,https://academic.oup.com/bioscience/article/70/1/8/5610806,
1.5 °C degrowth scenarios suggest the need for new mitigation pathways,https://www.nature.com/articles/s41467-021-22884-9,
New Yorker - Can We Have Prosperity Without Growth?,https://www.newyorker.com/magazine/2020/02/10/can-we-have-prosperity-without-growth,
Wired - Why Degrowth Is the Worst Idea on the Planet,https://www.wired.com/story/opinion-why-degrowth-is-the-worst-idea-on-the-planet/,
Jesse H. Ausbel - The Return of Nature,https://thebreakthrough.org/journal/issue-5/the-return-of-nature,"very focused, not general"
" Hickel, J., & Hallegatte, S. (2022). Can we live within environmental limits and still reduce poverty? Degrowth or decoupling? Development Policy Review, 40, e12584. https://doi.org/10.1111/dpr.12584 ",https://onlinelibrary.wiley.com/doi/10.1111/dpr.12584,
Vox - Can we save the planet by shrinking the economy?,https://www.vox.com/future-perfect/22408556/save-planet-shrink-economy-degrowth,
openDemocracy - Green growth vs degrowth: are we missing the point?,https://www.opendemocracy.net/en/oureconomy/green-growth-vs-degrowth-are-we-missing-point/,
Foreign Policy - The Myth of America’s Green Growth,https://foreignpolicy.com/2020/06/18/more-from-less-green-growth-environment-gdp/,Hickel vs. McAfee
"Jason Hickel - A Response to McAfee: No, the ""Environmental Kuznets Curve"" won't save us",https://www.jasonhickel.org/blog/2020/10/9/response-to-mcafee,
Book review – More from Less: The Surprising Story of How We Learned to Prosper Using Fewer Resources – And What Happens Next,https://inquisitivebiologist.com/2020/04/27/book-review-more-from-less-the-surprising-story-of-how-we-learned-to-prosper-using-fewer-resources-and-what-happens-next/,
"Review of “More from Less,” by Andrew McAfee",https://www.forbes.com/sites/cognitiveworld/2019/12/04/review-of-more-from-less-by-andrew-mcafee/,
degrowth,https://degrowth.info/en/degrowth,
"The Alternative - Can we ""green growth"" our way out of the coming slump? It doesn't exist, says Jason Hickel. And more from the ""de-growth"" discourse",https://www.thealternative.org.uk/dailyalternative/2020/6/20/can-we-green-growth-our-way-out,
resilience - Demateralizing the economy isn’t happening (Hint: All that material is actually hiding in plain sight),https://www.resilience.org/stories/2021-02-14/demateralizing-the-economy-isnt-happening-hint-all-that-material-is-actually-hiding-in-plain-sight/,
World Bank - Delivering Green Growth,https://www.worldbank.org/en/news/feature/2019/10/15/delivering-green-growth,
OECD - Green growth and sustainable development,https://www.oecd.org/greengrowth/,
NyTimes - Do We Need to Shrink the Economy to Stop Climate Change?,https://www.nytimes.com/2021/09/16/opinion/degrowth-cllimate-change.html,
Krugman - Errors and Emissions,https://www.nytimes.com/2014/09/19/opinion/paul-krugman-could-fighting-global-warming-be-cheap-and-free.html,
NYT - Biden’s Climate Change ‘Revolution’ Isn’t Coming,https://www.nytimes.com/2022/07/20/opinion/biden-climate-change-heat-manchin.html,
NYT - Andrew McAfee - Kicking the Industrial Age’s Worst Habits,https://www.nytimes.com/2019/12/06/opinion/industrial-age-environment.html,
"NYT - David Wallace-Wells - In Compromise, the Climate Left May Be Vindicated",https://www.nytimes.com/2022/07/29/opinion/environment/joe-manchin-climate-inflation-bill.html,
Transcript: Ezra Klein Answers Listener Questions 2021-08-31,https://www.nytimes.com/2021/08/31/podcasts/transcript-ezra-klein-ask-me-anything.html,
WSJ - Is Climate Change in Your Problem Top 10?,https://www.wsj.com/articles/is-climate-change-in-your-top-10-urgent-issues-gop-democrats-problems-worry-global-warming-environment-don%27t-look-up-11641741976,
Mint - DeFi and degrowth mark two extremes in fixing capitalism,https://www.livemint.com/opinion/columns/defi-and-degrowth-mark-two-extremes-in-fixing-capitalism-11659285744775.html,
